2021-04-22 13:47:46.454 [main] INFO  com.hospital.managementsystem.App - Starting App on LAPTOP-S7SVM9NQ with PID 11824 (D:\AHSecurityApp\hospital-medical-record-management-system-server\target\classes started by lenovo in D:\AHSecurityApp\hospital-medical-record-management-system-server)
2021-04-22 13:47:46.458 [main] INFO  com.hospital.managementsystem.App - No active profile set, falling back to default profiles: default
2021-04-22 13:47:49.378 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-04-22 13:47:49.407 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-04-22 13:47:49.409 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-04-22 13:47:49.411 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2021-04-22 13:47:49.417 [main] INFO  o.a.c.core.AprLifecycleListener - An older version [1.2.21] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2021-04-22 13:47:49.418 [main] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.21] using APR version [1.6.5].
2021-04-22 13:47:49.418 [main] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2021-04-22 13:47:49.419 [main] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2021-04-22 13:47:51.219 [main] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2q  20 Nov 2018]
2021-04-22 13:47:51.577 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-04-22 13:47:51.578 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4991 ms
2021-04-22 13:47:52.347 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-04-22 13:47:52.618 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-04-22 13:47:52.687 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-04-22 13:47:52.746 [main] INFO  com.hospital.managementsystem.App - Started App in 7.389 seconds (JVM running for 15.757)
